fname,itp,tp_prob,its,ts_prob
2019.06.24.1050.SC.MET.npz,[999],[ 0.8903466],[1505],[ 0.88543534]
2019.06.24.1950.SC.MET.npz,[2484],[ 0.88434887],[2631],[ 0.5652992]
2019.06.24.1740.SC.MET.npz,[472],[ 0.782352],[582],[ 0.86879116]
2019.06.24.2160.SC.MET.npz,[791],[ 0.7855507],[898],[ 0.6746058]
