fname,itp,tp_prob,its,ts_prob
GS.WXT.1217656366.7.mseed,[610],[ 0.9193187],[1716],[ 0.6519936]
GS.WXT.1217739527.1.mseed,[607],[ 0.8810184],[2073],[ 0.34926823]
GS.WXT.1218120538.8.mseed,[],[],[],[]
GS.WXT.1217703543.0.mseed,[610],[ 0.9527468],[2181 2635],[ 0.6166312   0.21736243]
GS.WXT.1218138101.9.mseed,[728],[ 0.8374624],[1553],[ 0.7347872]
