fname,itp,tp_prob,its,ts_prob
XX.YGD.2008183000000.1214886082.501.sac,[595],[ 0.8684726],[ 759 2119],[ 0.40129334  0.28064463]
XX.YGD.2008183000000.1214886082.502.sac,[],[],[2085 2439],[ 0.61996824  0.31861356]
