fname,itp,tp_prob,its,ts_prob
2019.06.24.3120.SC.MET.npz,[2097],[ 0.5909978],[2469],[ 0.6874399]
2019.06.24.2970.SC.MET.npz,[1167],[ 0.56756204],[1402],[ 0.8006898]
