fname,itp,tp_prob,its,ts_prob
2019.06.24.2940.SC.MET.npz,[],[],[],[]
2019.06.24.3120.SC.MET.npz,[2097],[ 0.5909978],[2469],[ 0.6874399]
2019.06.24.2880.SC.MET.npz,[],[],[],[]
2019.06.24.3210.SC.MET.npz,[],[],[1693],[ 0.7689432]
2019.06.24.3000.SC.MET.npz,[],[],[],[]
2019.06.24.3030.SC.MET.npz,[],[],[2187],[ 0.6355095]
2019.06.24.3180.SC.MET.npz,[],[],[],[]
2019.06.24.3090.SC.MET.npz,[2908],[ 0.5951725],[],[]
2019.06.24.3270.SC.MET.npz,[],[],[],[]
2019.06.24.3150.SC.MET.npz,[],[],[],[]
2019.06.24.2850.SC.MET.npz,[],[],[],[]
2019.06.24.2910.SC.MET.npz,[],[],[],[]
2019.06.24.2970.SC.MET.npz,[1167],[ 0.56756204],[1402],[ 0.8006898]
